Timestamp,MAXnetOUT,AvgUserCpu,AvgSystemCpu,MAXnetIN,AVGnetOut,AVGnetIN,CpuCoresMax,CpuCalc
2021-03-21T23:50:00.000Z,7357304,0.7096666666666667,0.2986666666666667,1872660,5490790.833333333,531182.1666666666,8,0.12604166666666666
2021-03-21T23:51:00.000Z,9433440,0.6805,0.2811666666666667,2319242,5902389.333333333,860057.3333333334,8,0.12020833333333333
2021-03-21T23:52:00.000Z,9150625,0.7038333333333333,0.2846666666666667,1649539,6165579.833333333,576430.3333333334,8,0.12356249999999999
2021-03-21T23:53:00.000Z,6793507,0.6871666666666667,0.285,953261,5091311.5,274532.3333333333,8,0.12152083333333333
2021-03-21T23:54:00.000Z,8941969,0.7068333333333334,0.28950000000000004,2152827,7159386.833333333,856894,8,0.12454166666666669
2021-03-21T23:55:00.000Z,10549320,0.7226666666666667,0.30283333333333334,4077338,5101305.333333333,987107.8333333334,8,0.1281875
2021-03-21T23:56:00.000Z,12005555,0.7803333333333334,0.3035,5482734,6385656.333333333,2028812,8,0.13547916666666668
2021-03-21T23:57:00.000Z,37211571,0.9631666666666666,0.3215,29472056,12179332.333333334,6925323.666666667,8,0.16058333333333333
2021-03-21T23:58:00.000Z,7300047,0.6976666666666667,0.293,1800647,5350232.666666667,527526,8,0.12383333333333332
2021-03-21T23:59:00.000Z,9911462,0.7071666666666667,0.29,4861464,5560960.833333333,1047653.1666666666,8,0.12464583333333334
2021-03-22T00:00:00.000Z,19973059,0.9078333333333334,0.39749999999999996,11904175,9540986,3019738.3333333335,8,0.16316666666666668
2021-03-22T00:01:00.000Z,8301143,0.7043333333333334,0.288,3800658,5612645.333333333,1654318.3333333333,8,0.12404166666666666
2021-03-22T00:02:00.000Z,7813874,0.7323333333333334,0.28750000000000003,2224486,6027743,987551,8,0.12747916666666667
2021-03-22T00:03:00.000Z,6969365,0.6728333333333333,0.2665,2603161,4378484.666666667,623987.3333333334,8,0.11741666666666667
2021-03-22T00:04:00.000Z,7031078,0.7271666666666667,0.2941666666666667,1366926,5635909.833333333,493215.5,8,0.12766666666666668
2021-03-22T00:05:00.000Z,18058462,0.8215,0.32116666666666666,10364108,8515835.666666666,2213723.3333333335,8,0.14283333333333334
2021-03-22T00:06:00.000Z,8292056,0.7130000000000001,0.3,347407,5709336.5,201583.66666666666,8,0.12662500000000002
2021-03-22T00:07:00.000Z,8280371,0.7278333333333333,0.2896666666666667,2738342,4662765.5,663557.6666666666,8,0.1271875
2021-03-22T00:08:00.000Z,6278471,0.7411666666666666,0.3136666666666667,262056,5147292.666666667,150432.16666666666,8,0.13185416666666666
2021-03-22T00:09:00.000Z,10503957,0.7685000000000001,0.3143333333333333,1892401,6406150,758539.5,8,0.13535416666666666
2021-03-22T00:10:00.000Z,9647436,0.7336666666666667,0.3746666666666667,2558647,4795526.833333333,697432.1666666666,8,0.13854166666666667
2021-03-22T00:11:00.000Z,7433467,0.726,0.30283333333333334,1863165,5825830.333333333,921637.1666666666,8,0.12860416666666666
2021-03-22T00:12:00.000Z,7607251,0.7480000000000001,0.3173333333333333,1559117,6243049.166666667,988471,8,0.13316666666666668
2021-03-22T00:13:00.000Z,23955133,1.1698333333333333,0.4005,17967290,11474507.666666666,6638582.666666667,8,0.19629166666666667
2021-03-22T00:14:00.000Z,11753956,0.8635,0.3615,3928180,7041225.666666667,818102.3333333334,8,0.153125
2021-03-22T00:15:00.000Z,23681441,1.092,0.3401666666666667,15488585,9357000.5,3250421.3333333335,8,0.17902083333333335
2021-03-22T00:16:00.000Z,9579143,1.7056666666666667,0.293,3955760,6383866.666666667,1157090.6666666667,8,0.24983333333333332
2021-03-22T00:17:00.000Z,9077037,1.7278333333333336,0.2831666666666667,3046517,6633485,1249948.1666666667,8,0.251375
2021-03-22T00:18:00.000Z,8268386,1.71,0.27416666666666667,2882550,5734369.666666667,1048709.6666666667,8,0.24802083333333333
2021-03-22T00:19:00.000Z,6408691,1.691,0.27366666666666667,1173231,5173058.166666667,338677.8333333333,8,0.24558333333333335
2021-03-22T00:20:00.000Z,8665798,1.7063333333333333,0.2961666666666667,3797503,6223772,1230055.3333333333,8,0.2503125
2021-03-22T00:21:00.000Z,30766758,1.7958333333333334,0.3095,25996280,14812926.666666666,9626383.333333334,8,0.26316666666666666
2021-03-22T00:22:00.000Z,24147312,1.0221666666666667,0.37799999999999995,11824040,17940212.333333332,7994401.833333333,8,0.17502083333333332
