Timestamp,MAXnetOUT,MAXnetIN,AVGnetOut,AVGnetIN
2021-03-21T13:17:00.000Z,9720315,4108648,7588798.666666667,2144859.5
2021-03-21T13:18:00.000Z,15034137,9995531,8061527.166666667,3568358.1666666665
2021-03-21T13:19:00.000Z,7046772,2571297,5114008.166666667,1122968.5
2021-03-21T13:20:00.000Z,9089305,4923718,5048146.666666667,1275957.6666666667
2021-03-21T13:21:00.000Z,10959210,5606223,7977930.166666667,2704846.3333333335
2021-03-21T13:22:00.000Z,8339825,3753066,5116281.833333333,736111.8333333334
2021-03-21T13:23:00.000Z,8952458,2404858,6367436.666666667,719807.5
2021-03-21T13:24:00.000Z,14219573,7716626,8415246.333333334,2432051.3333333335
2021-03-21T13:25:00.000Z,13604939,7723484,7873965.833333333,2830197.1666666665
2021-03-21T13:26:00.000Z,12109467,6517772,7518544.833333333,2083462.3333333333
2021-03-21T13:27:00.000Z,23571754,11850373,9956452.833333334,3466854
2021-03-21T13:28:00.000Z,36553097,19997668,12726254.666666666,4554418.333333333
2021-03-21T13:29:00.000Z,17894934,11720278,6926314.666666667,2203028.3333333335
2021-03-21T13:30:00.000Z,19818494,17583986,9349482.5,4129525.8333333335
2021-03-21T13:31:00.000Z,55362063,51202537,25829028.5,20951961.5
2021-03-21T13:32:00.000Z,13133684,7184252,10159470.5,4442023.833333333
2021-03-21T13:33:00.000Z,49446317,44882515,17689984.333333332,12173467
2021-03-21T13:34:00.000Z,11623290,4679720,8306936.333333333,2297944.1666666665
2021-03-21T13:35:00.000Z,8658180,4000541,5449779.666666667,901319.1666666666
2021-03-21T13:36:00.000Z,9288406,4070198,5545332.5,787505.5
2021-03-21T13:37:00.000Z,33878858,27942225,11054041,5723066.166666667
2021-03-21T13:38:00.000Z,35296697,45610528,10952548.333333334,8368466.166666667
2021-03-21T13:39:00.000Z,47396523,42638099,14616871.333333334,10378012.666666666
2021-03-21T13:40:00.000Z,36543414,31084657,12806276.833333334,7351068.333333333
2021-03-21T13:41:00.000Z,12788424,7924490,9417862.5,4185644.5
2021-03-21T13:42:00.000Z,48424365,53150110,22436854.833333332,14742254.833333334
2021-03-21T13:43:00.000Z,21252638,7808533,18756614.166666668,7280864.166666667
2021-03-21T13:44:00.000Z,59096813,57142443,22272134.333333332,14424276.833333334
2021-03-21T13:45:00.000Z,39877671,55979303,11927770.166666666,11103421.666666666
2021-03-21T13:46:00.000Z,14019935,5841581,7066705.833333333,1158971.6666666667
2021-03-21T13:47:00.000Z,36181061,48356300,10708412.833333334,9457344
