Timestamp,Host__Network__In__Bytes
"2021-04-12T20:22:54.859Z",15445793
"2021-04-12T20:22:44.859Z",415054
"2021-04-12T20:22:34.859Z",1128353
"2021-04-12T20:22:24.859Z",372561
"2021-04-12T20:22:14.859Z",167907
"2021-04-12T20:22:04.861Z",186522
"2021-04-12T20:21:54.859Z",515231
"2021-04-12T20:21:44.859Z",44616500
"2021-04-12T20:21:34.859Z",5736479
"2021-04-12T20:21:24.859Z",768727
"2021-04-12T20:21:14.859Z",335298
"2021-04-12T20:21:04.860Z",110920
"2021-04-12T20:20:54.859Z",3385878
"2021-04-12T20:20:44.859Z",1901545
"2021-04-12T20:20:34.859Z",75997
"2021-04-12T20:20:24.859Z",6144655
"2021-04-12T20:20:14.859Z",203938
"2021-04-12T20:20:04.859Z",71033
"2021-04-12T20:19:54.859Z",2074745
"2021-04-12T20:19:44.859Z",3843786
"2021-04-12T20:19:34.859Z",165440
"2021-04-12T20:19:24.859Z",68227
"2021-04-12T20:19:14.859Z",2009078
"2021-04-12T20:19:04.859Z",119682
"2021-04-12T20:18:54.859Z",2362543
"2021-04-12T20:18:44.860Z",969098
"2021-04-12T20:18:34.859Z",175313
"2021-04-12T20:18:24.859Z",10457022
"2021-04-12T20:18:14.859Z",4504637
"2021-04-12T20:18:04.860Z",9691146
"2021-04-12T20:17:54.859Z",90221
"2021-04-12T20:17:44.859Z",12948641
"2021-04-12T20:17:34.859Z",7828660
"2021-04-12T20:17:24.860Z",4238227
"2021-04-12T20:17:14.860Z",2526613
"2021-04-12T20:17:04.859Z",511444
"2021-04-12T20:16:54.860Z",80611
"2021-04-12T20:16:44.859Z",1396906
"2021-04-12T20:16:34.859Z",1763032
"2021-04-12T20:16:24.859Z",3360864
"2021-04-12T20:16:14.859Z",3083805
"2021-04-12T20:16:04.860Z",3463914
"2021-04-12T20:15:54.859Z",13160674
"2021-04-12T20:15:44.859Z",1056725
"2021-04-12T20:15:34.859Z",1362629
"2021-04-12T20:15:24.860Z",3908177
"2021-04-12T20:15:14.859Z",70936
"2021-04-12T20:15:04.859Z",305298
"2021-04-12T20:14:54.859Z",131606
"2021-04-12T20:14:44.859Z",84958015
"2021-04-12T20:14:34.859Z",210869
"2021-04-12T20:14:24.859Z",1805462
"2021-04-12T20:14:14.860Z",823772
"2021-04-12T20:14:04.859Z",189738
"2021-04-12T20:13:54.860Z",8845712
"2021-04-12T20:13:44.859Z",38130866
"2021-04-12T20:13:34.859Z",11913809
"2021-04-12T20:13:24.859Z",2068178
"2021-04-12T20:13:14.860Z",745544
"2021-04-12T20:13:04.859Z",199633
"2021-04-12T20:12:54.859Z",93676
"2021-04-12T20:12:44.862Z",72619
"2021-04-12T20:12:34.859Z",15234414
"2021-04-12T20:12:24.861Z",2691383
"2021-04-12T20:12:14.859Z",11379035
"2021-04-12T20:12:04.859Z",221650
"2021-04-12T20:11:54.859Z",135148
"2021-04-12T20:11:44.859Z",8581447
"2021-04-12T20:11:34.859Z",1173851
"2021-04-12T20:11:24.859Z",132869
"2021-04-12T20:11:14.859Z",7889343
"2021-04-12T20:11:04.859Z",1885291
"2021-04-12T20:10:54.859Z",7944565
"2021-04-12T20:10:44.859Z",30416507
"2021-04-12T20:10:34.860Z",10640850
"2021-04-12T20:10:24.860Z",3890453
"2021-04-12T20:10:14.859Z",136330
"2021-04-12T20:10:04.859Z",4077944
"2021-04-12T20:09:54.859Z",2668833
"2021-04-12T20:09:44.859Z",139672
"2021-04-12T20:09:34.859Z",3938430
"2021-04-12T20:09:24.859Z",84310
"2021-04-12T20:09:14.859Z",261108
"2021-04-12T20:09:04.859Z",3839307
"2021-04-12T20:08:54.860Z",2214930
"2021-04-12T20:08:44.859Z",175871
"2021-04-12T20:08:34.859Z",4671283
"2021-04-12T20:08:24.859Z",1843763
"2021-04-12T20:08:14.859Z",317368
"2021-04-12T20:08:04.859Z",5349047
"2021-04-12T20:07:54.859Z",104449
"2021-04-12T20:07:44.860Z",4108195
"2021-04-12T20:07:34.859Z",269722
"2021-04-12T20:07:24.859Z",2600568
"2021-04-12T20:07:14.860Z",11636885
"2021-04-12T20:07:04.859Z",6745588
"2021-04-12T20:06:54.859Z",92046
"2021-04-12T20:06:44.860Z",942788
"2021-04-12T20:06:34.859Z",43226368
"2021-04-12T20:06:24.861Z",1984403
"2021-04-12T20:06:14.859Z",6908307
"2021-04-12T20:06:04.859Z",189888
"2021-04-12T20:05:54.859Z",2034890
"2021-04-12T20:05:44.859Z",2036398
"2021-04-12T20:05:34.859Z",178213
"2021-04-12T20:05:24.859Z",80099
"2021-04-12T20:05:14.860Z",14783493
"2021-04-12T20:05:04.859Z",23275927
"2021-04-12T20:04:54.859Z",104589
"2021-04-12T20:04:44.859Z",10370676
"2021-04-12T20:04:34.859Z",33625107
"2021-04-12T20:04:24.859Z",15495405
"2021-04-12T20:04:14.859Z",460042
"2021-04-12T20:04:04.860Z",126601
"2021-04-12T20:03:54.859Z",340269
"2021-04-12T20:03:44.859Z",3832392
"2021-04-12T20:03:34.860Z",2133925
"2021-04-12T20:03:24.859Z",5544663
"2021-04-12T20:03:14.859Z",69356
"2021-04-12T20:03:04.859Z",4253495
"2021-04-12T20:02:54.859Z",3955823
"2021-04-12T20:02:44.859Z",1836438
"2021-04-12T20:02:34.860Z",152323
"2021-04-12T20:02:24.859Z",2159195
"2021-04-12T20:02:14.859Z",134084
"2021-04-12T20:02:04.859Z",137844
"2021-04-12T20:01:54.859Z",97007
"2021-04-12T20:01:44.859Z",1520341
"2021-04-12T20:01:34.859Z",2085634
"2021-04-12T20:01:24.859Z",7640699
"2021-04-12T20:01:14.859Z",1892343
"2021-04-12T20:01:04.859Z",193456
"2021-04-12T20:00:54.859Z",2325549
"2021-04-12T20:00:44.859Z",1522910
"2021-04-12T20:00:34.859Z",1111391
"2021-04-12T20:00:24.860Z",429859
"2021-04-12T20:00:14.859Z",1328483
"2021-04-12T20:00:04.859Z",1378143
"2021-04-12T19:59:54.859Z",2157463
"2021-04-12T19:59:44.859Z",3075085
"2021-04-12T19:59:34.859Z",4018032
"2021-04-12T19:59:24.859Z",179931
"2021-04-12T19:59:14.859Z",88052
"2021-04-12T19:59:04.859Z",356651
"2021-04-12T19:58:54.859Z",3760806
"2021-04-12T19:58:44.859Z",132117
"2021-04-12T19:58:34.860Z",165258
"2021-04-12T19:58:24.859Z",87997
"2021-04-12T19:58:14.860Z",183315
"2021-04-12T19:58:04.859Z",223798
"2021-04-12T19:57:54.860Z",1825506
"2021-04-12T19:57:44.859Z",5849763
"2021-04-12T19:57:34.859Z",312643
"2021-04-12T19:57:24.865Z",127287
"2021-04-12T19:57:14.859Z",3417173
"2021-04-12T19:57:04.859Z",5727225
"2021-04-12T19:56:54.859Z",1846910
"2021-04-12T19:56:44.859Z",1780308
"2021-04-12T19:56:34.859Z",113269
"2021-04-12T19:56:24.859Z",130886
"2021-04-12T19:56:14.859Z",241871
"2021-04-12T19:56:04.859Z",3906759
"2021-04-12T19:55:54.859Z",1818033
"2021-04-12T19:55:44.859Z",73598
"2021-04-12T19:55:34.859Z",122990
"2021-04-12T19:55:24.860Z",129143
"2021-04-12T19:55:14.859Z",232662
"2021-04-12T19:55:04.859Z",901362
"2021-04-12T19:54:54.859Z",1228974
"2021-04-12T19:54:44.859Z",2200097
"2021-04-12T19:54:34.859Z",3384122
"2021-04-12T19:54:24.859Z",225021
"2021-04-12T19:54:14.859Z",167686
"2021-04-12T19:54:04.859Z",120006
"2021-04-12T19:53:54.859Z",4345902
"2021-04-12T19:53:44.860Z",847952
"2021-04-12T19:53:34.859Z",118863
"2021-04-12T19:53:24.859Z",16379103
"2021-04-12T19:53:14.859Z",123755
"2021-04-12T19:53:04.864Z",1054835
"2021-04-12T19:52:54.859Z",5627454
"2021-04-12T19:52:44.859Z",1400363
"2021-04-12T19:52:34.859Z",436895
"2021-04-12T19:52:24.859Z",3262956
"2021-04-12T19:52:14.859Z",2755124
"2021-04-12T19:52:04.859Z",2924683
"2021-04-12T19:51:54.859Z",4896762
"2021-04-12T19:51:44.860Z",2470692
"2021-04-12T19:51:34.859Z",131343
"2021-04-12T19:51:24.859Z",79106
"2021-04-12T19:51:14.859Z",167134
"2021-04-12T19:51:04.859Z",219369
"2021-04-12T19:50:54.859Z",3403108
"2021-04-12T19:50:44.859Z",71355
"2021-04-12T19:50:34.859Z",179249
"2021-04-12T19:50:24.859Z",84371
"2021-04-12T19:50:14.859Z",1792719
"2021-04-12T19:50:04.859Z",2017878
"2021-04-12T19:49:54.859Z",4648460
"2021-04-12T19:49:44.859Z",176530
"2021-04-12T19:49:34.859Z",300259
"2021-04-12T19:49:24.859Z",7435960
"2021-04-12T19:49:14.859Z",2000133
